Date,Adj Close,Close,High,Low,Open,Volume
,MRF.BO,MRF.BO,MRF.BO,MRF.BO,MRF.BO,MRF.BO
2021-01-01,75513.6171875,76038.3515625,76251.796875,75629.1484375,76171.5,534
2021-01-04,77875.0703125,78416.203125,78859.453125,75900.046875,76580.0,2114
2021-01-05,78481.890625,79027.25,79250.0,77677.296875,77777.0,1659
2021-01-06,78239.71875,78783.3984375,79799.0,77675.453125,79283.8515625,1236
2021-01-07,76831.0078125,77364.8984375,79550.046875,77050.0,79550.046875,887
2021-01-08,80099.9921875,80656.6015625,81350.0,77570.953125,77570.953125,2502
2021-01-11,81938.78125,82508.1484375,82959.953125,80527.296875,80800.0,3562
2021-01-12,85150.5703125,85742.25,86999.953125,81777.0,83390.0,3950
2021-01-13,85040.3515625,85631.296875,87575.0,85265.6484375,86201.0,2058
2021-01-14,88176.28125,88789.0,89900.0,85800.1015625,86550.0,1496
2021-01-15,86958.8359375,87563.1015625,89896.1015625,86404.796875,89310.0,2075
2021-01-18,85237.3515625,85829.6484375,88000.0,85116.546875,88000.0,3464
2021-01-19,86691.0,87293.3984375,87968.5,86000.046875,86000.046875,1395
2021-01-20,92281.734375,92923.0,94034.703125,87616.6484375,87880.0,2936
2021-01-21,91056.609375,91689.3515625,96456.296875,90639.203125,93500.0,5511
2021-01-22,91675.4296875,92312.453125,94290.453125,91386.453125,92200.0,3725
2021-01-25,89003.5703125,89622.046875,93945.6484375,89152.203125,93250.0,2675
2021-01-27,87883.2734375,88493.953125,90160.1484375,87500.0,89700.0,1882
2021-01-28,86943.203125,87547.3515625,89358.0,87179.1015625,88400.0,1667
2021-01-29,83711.8515625,84293.546875,89406.3984375,83458.203125,88100.0,2773
2021-02-01,87592.125,88200.796875,88713.0,83941.0,85435.203125,2886
2021-02-02,90163.4765625,90790.0,91949.75,89002.703125,89322.0,2919
2021-02-03,89408.90625,90030.203125,92990.0,89460.6015625,92990.0,2842
2021-02-04,91606.140625,92242.703125,93768.1015625,90136.0,91340.0,2800
2021-02-05,90072.796875,90698.703125,93599.953125,90301.0,93499.8984375,2251
2021-02-08,90183.4453125,90810.1015625,92599.8984375,89975.0,91999.0,2223
2021-02-09,93104.28125,93751.25,94545.8515625,90400.296875,91384.0,2959
2021-02-10,96338.578125,97008.0,97921.703125,92785.3515625,93979.953125,3919
2021-02-11,89455.203125,90076.796875,98575.8984375,89150.0,96502.0,7487
2021-02-12,90583.6953125,91213.1484375,93482.546875,90076.6484375,91990.0,5157
2021-02-15,89818.875,90443.0,92700.0,89884.953125,92700.0,2700
2021-02-16,88888.734375,89506.3984375,91609.0,89077.0,91000.0,3671
2021-02-17,88201.625,88811.546875,90558.75,87224.25,90490.0,2668
2021-02-18,88297.78125,88908.3515625,90300.0,88500.0,90300.0,2609
2021-02-19,87495.40625,88100.453125,89346.203125,86985.8984375,88499.953125,2243
2021-02-22,86397.609375,86995.046875,88790.1484375,86272.453125,88400.0,1990
2021-02-23,86915.875,87516.8984375,88000.0,85858.796875,87400.0,2427
2021-02-24,87111.96875,87714.3515625,94000.0,85020.0,88000.0,5442
2021-02-25,87071.0546875,87673.1484375,88677.0,87449.75,88300.0,949
2021-02-26,83890.1796875,84470.296875,87347.0,83786.0,87347.0,2494
2021-03-01,88465.953125,89077.703125,89798.3515625,85269.5,85500.0,2582
2021-03-02,89113.2890625,89729.5,90300.0,88500.0,90000.0,2472
2021-03-03,88465.7109375,89077.453125,89852.0,88579.953125,89300.0,1333
2021-03-04,89133.8515625,89750.203125,90774.0,85756.203125,88510.0,1722
2021-03-05,88016.6640625,88625.296875,89700.0,88010.1484375,89700.0,1319
2021-03-08,87003.0703125,87604.703125,89403.3515625,87303.296875,88700.0,1115
2021-03-09,88430.734375,89042.25,89450.0,88000.1484375,88050.0,1631
2021-03-10,88083.84375,88692.953125,89780.5,88481.0,89500.0,720
2021-03-12,88220.2421875,88830.296875,90245.0,88151.1484375,89000.0,2533
2021-03-15,86970.6328125,87572.046875,89477.75,87020.75,88968.703125,1256
2021-03-16,86232.546875,86828.8515625,88600.0,86480.203125,88600.0,1328
2021-03-17,84954.1328125,85541.6015625,87329.0,85262.3984375,87000.0,1316
2021-03-18,82616.0625,83187.3515625,86388.6015625,83049.203125,86100.0,1491
2021-03-19,83969.6015625,84550.25,84900.0,80648.296875,83286.953125,1768
2021-03-22,83195.25,83770.546875,85394.3984375,82406.953125,84000.0,1321
2021-03-23,84037.7265625,84618.8515625,84978.1015625,83605.796875,84000.0,987
2021-03-24,81697.515625,82262.453125,84378.796875,81900.046875,83910.0,1173
2021-03-25,81152.28125,81713.453125,82993.703125,80638.1015625,82400.953125,1695
2021-03-26,81468.3984375,82031.75,82804.3984375,81800.046875,82150.0,1077
2021-03-30,82647.484375,83219.0,84000.0,81302.0,82201.0,1176
2021-03-31,81654.0625,82218.703125,83464.796875,82000.0,83439.953125,896
2021-04-01,82601.03125,83172.203125,83442.8515625,82200.046875,82864.453125,628
2021-04-05,80976.4921875,81536.453125,83317.0,81278.296875,82500.046875,1103
2021-04-06,81665.921875,82230.6484375,82700.0,81238.6484375,82700.0,942
2021-04-07,83126.1796875,83701.0,84075.8515625,81550.0,82000.0,662
